"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 27, 2021","3,022.11","3,061.86","3,163.86","2,984.03","872.21K","-1.35%"
"Sep 26, 2021","3,063.51","2,922.47","3,113.65","2,740.12","1.33M","4.82%"
"Sep 25, 2021","2,922.55","2,928.59","2,965.48","2,812.70","975.49K","-0.21%"
"Sep 24, 2021","2,928.57","3,152.92","3,158.38","2,740.06","1.74M","-7.12%"
"Sep 23, 2021","3,152.92","3,077.80","3,173.00","3,035.96","841.54K","2.44%"
"Sep 22, 2021","3,077.78","2,764.71","3,087.97","2,740.58","1.19M","11.45%"
"Sep 21, 2021","2,761.52","2,976.70","3,101.88","2,659.71","1.79M","-7.21%"
"Sep 20, 2021","2,976.05","3,328.49","3,344.04","2,931.64","1.72M","-10.61%"
"Sep 19, 2021","3,329.12","3,435.92","3,455.67","3,282.85","614.00K","-3.11%"
"Sep 18, 2021","3,435.97","3,398.55","3,539.50","3,371.33","600.19K","1.10%"
"Sep 17, 2021","3,398.65","3,569.92","3,592.20","3,352.32","748.10K","-4.78%"
"Sep 16, 2021","3,569.43","3,612.23","3,672.68","3,488.53","195.79K","-1.18%"
"Sep 15, 2021","3,611.90","3,430.36","3,612.29","3,361.63","790.27K","5.34%"
"Sep 14, 2021","3,428.87","3,284.65","3,428.87","3,270.91","720.34K","4.39%"
"Sep 13, 2021","3,284.52","3,408.17","3,429.24","3,118.66","1.34M","-3.63%"
"Sep 12, 2021","3,408.28","3,267.33","3,469.50","3,231.87","805.97K","4.31%"
"Sep 11, 2021","3,267.33","3,209.37","3,345.37","3,202.41","732.95K","1.87%"
"Sep 10, 2021","3,207.27","3,423.87","3,512.90","3,156.28","1.21M","-6.32%"
"Sep 09, 2021","3,423.51","3,498.92","3,564.30","3,395.94","1.09M","-2.05%"
"Sep 08, 2021","3,495.10","3,424.35","3,557.67","3,221.60","780.68K","2.10%"
"Sep 07, 2021","3,423.12","3,926.84","3,945.79","3,061.30","2.47M","-12.84%"
"Sep 06, 2021","3,927.21","3,950.20","3,968.20","3,867.55","764.56K","-0.59%"
"Sep 05, 2021","3,950.62","3,885.40","3,981.22","3,834.74","714.16K","1.69%"
"Sep 04, 2021","3,884.97","3,938.45","3,968.33","3,844.07","672.53K","-1.30%"
"Sep 03, 2021","3,936.29","3,785.85","4,024.89","3,715.97","1.20M","3.96%"
"Sep 02, 2021","3,786.19","3,826.90","3,833.89","3,723.42","928.70K","-1.21%"
"Sep 01, 2021","3,832.73","3,429.65","3,839.91","3,384.82","1.48M","11.72%"
"Aug 31, 2021","3,430.74","3,228.23","3,467.42","3,191.34","1.52M","6.36%"
"Aug 30, 2021","3,225.67","3,222.43","3,345.72","3,145.53","966.58K","0.11%"
"Aug 29, 2021","3,222.16","3,243.96","3,282.21","3,155.31","643.73K","-0.67%"
"Aug 28, 2021","3,243.90","3,273.78","3,284.58","3,212.24","466.21K","-0.91%"
"Aug 27, 2021","3,273.58","3,093.78","3,279.93","3,063.37","839.54K","5.82%"